ID,iyear,imonth,iday,date,dayweek,country_txt,country,region,region_txt,provstate,city,summary,crit1,crit2,crit3,success,suicide,doubtter_txt,doubtterr,gname,attacktype1_txt,Attacktype,attacktype2_txt,attacktype2,targtype,targtype1,targsubtype1_txt,targsubtype1,targtype2_txt,targtype2,targsubtype2_txt,targsubtype2,weaptype1_txt,weaptype1,weapsubtype1_txt,weapsubtype1,weaptype2_txt,weaptype2,weapsubtype2_txt,weapsubtype2,nkill,nkillter,nwound,nwoundte,helper,Foiling Method,Foiling Method (other),Key Factors Leading to Prevention,Key Factors Leading to Prevention (other),Arrests Made,Convictions Made,Case file link (if possible) , Post-incident on-the-ground changes,cite1,cite2,cite3,lat,long
197209200010,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Ya'acov Tsur, a Jewish National Fund official, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,NGO,12,School/University/Educational Building,49,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200011,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to a public figure was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Private Citizens & Property,14,Race/Ethnicity Identified,71,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200012,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to a public figure was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Private Citizens & Property,14,Religion Identified,69,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209220001,1972,9,22,9/22/1972,6,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/22/1972: A letter bomb addressed to Zalman Shoval, a Knesset member, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Government (General),2,Place of Worship,86,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720922,,,,,,,,,,,,,
197209220002,1972,9,22,9/22/1972,6,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/22/1972: A letter bomb addressed to Yehuda Sha'ari, the Tourism Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Government (General),2,Police Security Forces/Officers,25,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720922,,,,,,,,,,,,,
197312040001,1973,12,4,12/4/1973,3,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Private Citizens & Property,14,Newspaper Journalist/Staff/Facility,53,,#N/A,,#N/A,Explosives,6,Grenade,7,Explosives,6,Unknown Explosive Type,16,2,,18,,19731204,,,,,,,,,,,,,
197402110001,1974,2,11,2/11/1974,2,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Jewish Defense League (JDL),Bombing/Explosion,3,,#N/A,Religious Figures/Institutions,15,Teacher/Professor/Instructor,48,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19740211,,,,,,,,,,,,,
197402110002,1974,2,11,2/11/1974,2,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Jewish Defense League (JDL),Bombing/Explosion,3,,#N/A,Business,1,Named Civilian,68,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19740211,,,,,,,,,,,,,
197402110003,1974,2,11,2/11/1974,2,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Jewish Defense League (JDL),Bombing/Explosion,3,,#N/A,Religious Figures/Institutions,15,Race/Ethnicity Identified,71,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19740211,,,,,,,,,,,,,
197404110001,1974,4,11,4/11/1974,5,Israel,97,10,Middle East & North Africa,Northern,Kiryat Shmona,,,,,1,0,Terrorism,0,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",Hostage Taking (Barricade Incident),5,,#N/A,Private Citizens & Property,14,"Military Personnel (soldiers, troops, officers, forces)",34,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,Explosives,6,Unknown Explosive Type,16,21,3,,,19740411,,,,,,,,,,,,,
197405180001,1974,5,18,5/18/1974,7,Israel,97,10,Middle East & North Africa,Northern,Maalot,,,,,1,0,Terrorism,0,Democratic Front for the Liberation of Palestine (DFLP),Bombing/Explosion,3,,#N/A,Educational Institution,8,Aircraft (not at an airport),42,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,Explosives,6,Unknown Explosive Type,16,25,,70,,19740518,,,,,,,,,,,,,
197406130001,1974,6,13,6/13/1974,5,Israel,97,10,Middle East & North Africa,Northern,Shamir,,,,,1,0,Terrorism,0,Popular Front for the Liberation of Palestine (PFLP),Armed Assault,2,,#N/A,Private Citizens & Property,14,School/University/Educational Building,49,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,,#N/A,,#N/A,7,4,0,,19740613,,,,,,,,,,,,,
197406250001,1974,6,25,6/25/1974,3,Israel,97,10,Middle East & North Africa,Northern,Nahariyya,,,,,1,0,Terrorism,0,Black September,Hostage Taking (Barricade Incident),5,,#N/A,Private Citizens & Property,14,Race/Ethnicity Identified,71,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,,#N/A,,#N/A,14,3,,,19740625,,,,,,,,,,,,,
197411180001,1974,11,18,11/18/1974,2,Israel,97,10,Middle East & North Africa,Northern,Beit Shean,,,,,1,0,Terrorism,0,Democratic Front for the Liberation of Palestine (DFLP),Unknown,-99,,#N/A,Private Citizens & Property,14,Race/Ethnicity Identified,71,,#N/A,,#N/A,Unknown,13,,#N/A,,#N/A,,#N/A,7,3,5,,19741118,,,,,,,,,,,,,
197411300001,1974,11,30,11/30/1974,7,Israel,97,10,Middle East & North Africa,Northern,Rehaniya,,,,,1,0,Terrorism,0,Palestinians,Armed Assault,2,,#N/A,Private Citizens & Property,14,Race/Ethnicity Identified,71,,#N/A,,#N/A,Firearms,5,Handgun,3,,#N/A,,#N/A,1,,1,,19741130,,,,,,,,,,,,,
197412080001,1974,12,8,12/8/1974,1,Israel,97,10,Middle East & North Africa,Northern,Rosh Hanikra,,,,,1,0,Terrorism,0,Palestinians,Armed Assault,2,,#N/A,Private Citizens & Property,14,Race/Ethnicity Identified,71,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,,#N/A,,#N/A,1,,2,,19741208,,,,,,,,,,,,,
197412110001,1974,12,11,12/11/1974,4,Israel,97,10,Middle East & North Africa,Tel Aviv,Tel Aviv,,,,,1,0,Terrorism,0,Popular Front for the Liberation of Palestine (PFLP),Bombing/Explosion,3,,#N/A,Business,1,Political Party Member/Rally,84,,#N/A,,#N/A,Explosives,6,Grenade,7,,#N/A,,#N/A,2,,54,,19741211,,,,,,,,,,,,,
197412200001,1974,12,20,12/20/1974,6,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Democratic Front for the Liberation of Palestine (DFLP),Bombing/Explosion,3,,#N/A,Business,1,Race/Ethnicity Identified,71,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,13,,19741220,,,,,,,,,,,,,
197503050001,1975,3,5,3/5/1975,4,Israel,97,10,Middle East & North Africa,Tel Aviv,Tel Aviv,,,,,1,0,Terrorism,0,Popular Front for the Liberation of Palestine (PFLP),Hostage Taking (Barricade Incident),5,,#N/A,Business,1,Race/Ethnicity Identified,71,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,Explosives,6,Unknown Explosive Type,16,18,,,,19750305,,,,,,,,,,,,,
197511130001,1975,11,13,11/13/1975,5,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Democratic Front for the Liberation of Palestine (DFLP),Bombing/Explosion,3,,#N/A,Private Citizens & Property,14,Domestic NGO,61,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,6,,62,,19751113,,,,,,,,,,,,,
197601090001,1976,1,9,1/9/1976,6,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Popular Front for the Liberation of Palestine (PFLP),Bombing/Explosion,3,,#N/A,Business,1,Race/Ethnicity Identified,71,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,8,,19760109,,,,,,,,,,,,,
197605030001,1976,5,3,5/3/1976,2,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Popular Front for the Liberation of Palestine (PFLP),Bombing/Explosion,3,,#N/A,Religious Figures/Institutions,15,Race/Ethnicity Identified,71,,#N/A,,#N/A,Explosives,6,Vehicle,15,,#N/A,,#N/A,1,,31,,19760503,,,,,,,,,,,,,
197704000001,1977,4,0,3/31/1977,5,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Transportation,19,Race/Ethnicity Identified,71,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19770400,,,,,,,,,,,,,
197707290001,1977,7,29,7/29/1977,6,Israel,97,10,Middle East & North Africa,Southern,Beersheba,,,,,1,0,Terrorism,0,Unknown,Bombing/Explosion,3,,#N/A,Private Citizens & Property,14,Airline Officer/Personnel,43,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,23,,19770729,,,,,,,,,,,,,
197711230001,1977,11,23,11/23/1977,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Unknown,-9,Palestinians,Bombing/Explosion,3,,#N/A,Business,1,School/University/Educational Building,49,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,1,,0,,19771123,,,,,,,,,,,,,
197712050001,1977,12,5,12/5/1977,2,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Assassination,1,,#N/A,Private Citizens & Property,14,Train/Train Tracks/Trolley,100,,#N/A,,#N/A,Firearms,5,Handgun,3,,#N/A,,#N/A,1,,0,,19771205,,,,,,,,,,,,,
197712260001,1977,12,26,12/26/1977,2,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Assassination,1,,#N/A,Government (General),2,Newspaper Journalist/Staff/Facility,53,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,,#N/A,,#N/A,1,,0,,19771226,,,,,,,,,,,,,
197712300001,1977,12,30,12/30/1977,6,Israel,97,10,Middle East & North Africa,Central,Natanya,,,,,1,0,Terrorism,0,Democratic Front for the Liberation of Palestine (DFLP),Bombing/Explosion,3,,#N/A,Business,1,Memorial/Cemetery/Monument,80,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,Explosives,6,Time Fuse,14,2,,1,,19771230,,,,,,,,,,,,,
197802140001,1978,2,14,2/14/1978,3,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Transportation,19,Teacher/Professor/Instructor,48,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,2,,43,,19780214,,,,,,,,,,,,,
197802160001,1978,2,16,2/16/1978,5,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Private Citizens & Property,14,Teacher/Professor/Instructor,48,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19780216,,,,,,,,,,,,,
197803110001,1978,3,11,3/11/1978,7,Israel,97,10,Middle East & North Africa,Haifa,Haifa,,,,,1,0,Terrorism,0,Al-Fatah,Hostage Taking (Barricade Incident),5,,#N/A,Transportation,19,Train/Train Tracks/Trolley,100,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,,#N/A,,#N/A,42,9,76,,19780311,,,,,,,,,,,,,
197806020001,1978,6,2,6/2/1978,6,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Al-Fatah,Bombing/Explosion,3,,#N/A,Unknown,20,Train/Train Tracks/Trolley,100,Unknown,20,,#N/A,Unknown,13,,#N/A,,#N/A,,#N/A,6,0,20,0,19780602,,,,,,,,,,,,,
197807100001,1978,7,10,7/10/1978,2,Israel,97,10,Middle East & North Africa,Southern,Kiryat Gat,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Transportation,19,Aircraft (not at an airport),42,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19780710,,,,,,,,,,,,,
197808030001,1978,8,3,8/3/1978,5,Israel,97,10,Middle East & North Africa,Tel Aviv,Tel Aviv,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Private Citizens & Property,14,Politician or Political Party Movement/Meeting/Rally,15,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,1,,49,,19780803,,,,,,,,,,,,,
197808150001,1978,8,15,8/15/1978,3,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Doubt,1,Palestinians,Bombing/Explosion,3,,#N/A,Military,4,Politician or Political Party Movement/Meeting/Rally,15,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,,,,,19780815,,,,,,,,,,,,,
197808220001,1978,8,22,8/22/1978,3,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,0,0,Unknown,-9,Palestinians,Bombing/Explosion,3,,#N/A,Business,1,Politician or Political Party Movement/Meeting/Rally,15,,#N/A,,#N/A,Explosives,6,Time Fuse,14,,#N/A,,#N/A,0,,0,,19780822,,,,,,,,,,,,,
197808280001,1978,8,28,8/28/1978,2,Israel,97,10,Middle East & North Africa,Central,Ramla,,,,,0,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Business,1,Multinational Corporation,4,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19780828,,,,,,,,,,,,,
197808300001,1978,8,30,8/30/1978,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Food or Water Supply,9,School/University/Educational Building,49,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,,,,,19780830,,,,,,,,,,,,,
197809050001,1978,9,5,9/5/1978,3,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Unknown,-9,Palestinians,Bombing/Explosion,3,,#N/A,Business,1,Place of Worship,86,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,2,,19780905,,,,,,,,,,,,,
197809050002,1978,9,5,9/5/1978,3,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Tourists,18,Retail/Grocery/Bakery,7,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19780905,,,,,,,,,,,,,
197809160001,1978,9,16,9/16/1978,7,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Unknown,-9,Palestinians,Bombing/Explosion,3,,#N/A,Business,1,School/University/Educational Building,49,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19780916,,,,,,,,,,,,,
197809160002,1978,9,16,9/16/1978,7,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Unknown,-9,Palestinians,Bombing/Explosion,3,,#N/A,Business,1,Retail/Grocery/Bakery,7,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,7,,19780916,,,,,,,,,,,,,
197809160003,1978,9,16,9/16/1978,7,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Unknown,-9,Palestinians,Bombing/Explosion,3,,#N/A,Business,1,Medical/Pharmaceutical,6,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,7,,19780916,,,,,,,,,,,,,
197809210001,1978,9,21,9/21/1978,5,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Tourists,18,School/University/Educational Building,49,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,0,,19780921,,,,,,,,,,,,,
197811190001,1978,11,19,11/19/1978,1,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Private Citizens & Property,14,Politician or Political Party Movement/Meeting/Rally,15,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,,,19781119,,,,,,,,,,,,,
197811190002,1978,11,19,11/19/1978,1,Israel,97,10,Middle East & North Africa,Tel Aviv,Jaffa,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Government (General),2,Terrorist,#N/A,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,2,,19781119,,,,,,,,,,,,,
197811300001,1978,11,30,11/30/1978,5,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Unknown,20,"Government Personnel (excluding police, military)",18,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,1,,0,,19781130,,,,,,,,,,,,,
197812170001,1978,12,17,12/17/1978,1,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Transportation,19,,#N/A,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,21,,19781217,,,,,,,,,,,,,
197812170002,1978,12,17,12/17/1978,1,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Palestinians,Bombing/Explosion,3,,#N/A,Transportation,19,"Government Personnel (excluding police, military)",18,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,0,,22,,19781217,,,,,,,,,,,,,
